dimension,characteristics_code,group,year,cat_id,cat_label,major,dollars,totalexp,share
tenure,01,All consumer units,1984,05,Owned dwellings: property taxes,Housing,421,21975,1.9158134243458476
tenure,01,All consumer units,1985,05,Owned dwellings: property taxes,Housing,438,23490,1.8646232439335888
tenure,01,All consumer units,1986,05,Owned dwellings: property taxes,Housing,418,23866,1.751445571105338
tenure,01,All consumer units,1987,05,Owned dwellings: property taxes,Housing,464,24414,1.9005488654050955
tenure,01,All consumer units,1988,05,Owned dwellings: property taxes,Housing,504,25892,1.9465471960451104
tenure,01,All consumer units,1989,05,Owned dwellings: property taxes,Housing,575,27810,2.067601582164689
tenure,01,All consumer units,1990,05,Owned dwellings: property taxes,Housing,597,28381,2.1035199605369788
tenure,01,All consumer units,1991,05,Owned dwellings: property taxes,Housing,789,29614,2.664280407915175
tenure,01,All consumer units,1992,05,Owned dwellings: property taxes,Housing,782,29846,2.620116598539168
tenure,01,All consumer units,1993,05,Owned dwellings: property taxes,Housing,825,30692,2.6879968721490943
tenure,01,All consumer units,1994,05,Owned dwellings: property taxes,Housing,922,31731,2.9056758375090603
tenure,01,All consumer units,1995,05,Owned dwellings: property taxes,Housing,930,32264,2.8824696255888917
tenure,01,All consumer units,1996,05,Owned dwellings: property taxes,Housing,939,33797,2.778353108264047
tenure,01,All consumer units,1997,05,Owned dwellings: property taxes,Housing,971,34819,2.788707314971711
tenure,01,All consumer units,1998,05,Owned dwellings: property taxes,Housing,1015,35535,2.8563388208808216
tenure,01,All consumer units,1999,05,Owned dwellings: property taxes,Housing,1123,36995,3.0355453439654005
tenure,01,All consumer units,2000,05,Owned dwellings: property taxes,Housing,1139,38045,2.9938231042186882
tenure,01,All consumer units,2001,05,Owned dwellings: property taxes,Housing,1233,39518,3.120097170909459
tenure,01,All consumer units,2002,05,Owned dwellings: property taxes,Housing,1242,40677,3.053322516409765
tenure,01,All consumer units,2003,05,Owned dwellings: property taxes,Housing,1344,40817,3.29274566969645
tenure,01,All consumer units,2004,05,Owned dwellings: property taxes,Housing,1391,43395,3.20543841456389
tenure,01,All consumer units,2005,05,Owned dwellings: property taxes,Housing,1541,46409,3.320476631687819
tenure,01,All consumer units,2006,05,Owned dwellings: property taxes,Housing,1649,48398,3.407165585354767
tenure,01,All consumer units,2007,05,Owned dwellings: property taxes,Housing,1709,49638,3.4429267899593055
