# BLS download manifest, captured 2026-09-08T13:50:37-0400

 survey file                                    bytes     modified           
 cx     cx.data.1.AllData                       120837264 2025-12-19 11:00:00
 cx     cx.aspect                               739040335 2025-12-19 11:00:00
 cx     cx.category                                   238 2025-12-19 11:00:00
 cx     cx.characteristics                           8375 2025-12-19 11:00:00
 cx     cx.contacts                                   519 2024-11-14 14:45:00
 cx     cx.demographics                               861 2025-12-19 11:00:00
 cx     cx.footnote                                  1014 2025-12-19 11:00:00
 cx     cx.item                                     70312 2025-12-19 11:00:00
 cx     cx.process                                     83 2025-12-19 11:00:00
 cx     cx.series                                31109497 2025-12-19 11:00:00
 cx     cx.subcategory                               1194 2025-12-19 11:00:00
 cu     cu.data.0.Current                        48918366 2026-08-12 08:30:00
 cu     cu.data.1.AllItems                        2685811 2026-08-12 08:30:00
 cu     cu.data.10.OtherWest                     12449888 2026-08-12 08:30:00
 cu     cu.data.11.USFoodBeverage                 6661654 2026-08-12 08:30:00
 cu     cu.data.12.USHousing                      2698758 2026-08-12 08:30:00
 cu     cu.data.13.USApparel                      1401985 2026-08-12 08:30:00
 cu     cu.data.14.USTransportation               2236236 2026-08-12 08:30:00
 cu     cu.data.15.USMedical                      1011126 2026-08-12 08:30:00
 cu     cu.data.16.USRecreation                   1447588 2026-08-12 08:30:00
 cu     cu.data.17.USEducationAndCommunication     914072 2026-08-12 08:30:00
 cu     cu.data.18.USOtherGoodsAndServices        1123240 2026-08-12 08:30:00
 cu     cu.data.19.PopulationSize                 1487405 2026-08-12 08:30:00
 cu     cu.data.2.Summaries                      12032694 2026-08-12 08:30:00
 cu     cu.data.20.USCommoditiesServicesSpecial   3626791 2026-08-12 08:30:00
 cu     cu.data.3.AsizeNorthEast                   692513 2026-08-12 08:30:00
 cu     cu.data.4.AsizeNorthCentral               2524007 2026-08-12 08:30:00
 cu     cu.data.5.AsizeSouth                       472895 2026-08-12 08:30:00
 cu     cu.data.6.AsizeWest                       1897619 2026-08-12 08:30:00
 cu     cu.data.7.OtherNorthEast                  9688998 2026-08-12 08:30:00
 cu     cu.data.8.OtherNorthCentral              11088992 2026-08-12 08:30:00
 cu     cu.data.9.OtherSouth                     13168791 2026-08-12 08:30:00
 cu     cu.area                                      2185 2026-08-12 08:30:00
 cu     cu.aspect                                31471279 2026-08-12 08:30:00
 cu     cu.base                                        45 2026-08-12 08:30:00
 cu     cu.contacts                                   984 2005-04-15 10:49:00
 cu     cu.footnote                                   100 2026-08-12 08:30:00
 cu     cu.item                                     16554 2026-08-12 08:30:00
 cu     cu.period                                     323 1994-02-25 17:29:00
 cu     cu.periodicity                                 61 2026-08-12 08:30:00
 cu     cu.seasonal                                    79 2018-10-12 13:29:00
 cu     cu.series                                 1339447 2026-08-12 08:30:00
 cu     cu.txt                                      14644 2018-02-14 10:30:00
