major,share_raw_all_cu,share_raw_families_kids,share_raw_married_kids,share_raw_married_nokids,share_raw_single_other,share_raw_single_parent,dollars_all_cu,dollars_families_kids,dollars_married_kids,dollars_married_nokids,dollars_single_other,dollars_single_parent,gap_pp
Out of scope,15.393136817979244,17.01091871406774,17.67134744904697,15.674225083721403,13.570254652128583,11.043212570929725,12089,17835.705118013102,20072,13901,7679,6831,3.440664061939156
Food,12.948366970140702,13.522669254013199,13.374125104547257,12.384002164917067,12.267835368547546,14.864930403996315,10169,14178.325420104718,15191,10983,6942,9195,1.2548338854656524
Education,1.9978353600305596,2.763196981115372,2.828718580798521,1.4522985330431744,1.5409899800307492,2.1711366538952745,1569,2897.1725376243867,3213,1288,872,1343,1.2222070010846227
Transport,16.95931750175081,17.46618704171745,17.378174935070653,17.270851421290605,16.254616784773887,18.261474044974698,13319,18313.04745195866,19739,15317,9198,11296,1.2115702569435634
Household ops,6.636531482778379,6.95669817913363,6.967469296121847,6.698839739758927,6.294732005584322,6.859369190229077,5212,7293.99860193536,7914,5941,3562,4243,0.6619661735493079
Apparel,2.547908575794232,2.7961988784234686,2.7521239600299334,2.4287663355395943,2.3326912541749873,3.194464652343308,2001,2931.7745552235538,3126,2154,1320,1976,0.46350762424848124
Entertainment,4.595403323359012,4.614023340927297,4.744464497953075,5.115744133864038,4.271299061621927,3.4353428067963208,3609,4837.737520217111,5389,4537,2417,2125,0.34272427930536953
Reading,0.15916470363532184,0.1618966727332756,0.16639521063520712,0.18040975565753717,0.1413752275257568,0.1212473931810466,125,169.74634721346527,189,160,80,75,0.020521445207518807
Personal care,1.245304641242758,1.2362282320553055,1.207905973500022,1.2763990212770755,1.237033240850372,1.4921512520814135,978,1296.1676306916308,1372,1132,700,923,-8.050087950663976e-4
Alcohol,0.8187432355000955,0.6566963866341606,0.6594180569617467,1.1253058509138882,0.798770035520526,0.632103076450523,643,688.5367745826366,749,998,452,391,-0.1420736488863653
Tobacco,0.4482078054370663,0.28449894072311976,0.2764449531188097,0.36983999909795123,0.6679979500592009,0.3572756519068173,352,298.2930727267743,314,328,378,221,-0.38349900933608116
Health,7.892022665053797,6.935771749851063,7.12241933353876,9.79061192733997,7.540601198155053,5.249203808784778,6198,7272.057539954495,8090,8683,4267,3247,-0.60482944830399
Miscellaneous,1.5509008722225759,1.3681649412272907,1.3073909407051987,1.258358045711322,2.0022266598335308,1.917325444169617,1218,1434.501384358124,1485,1116,1133,1186,-0.63406171860624
Utilities,6.031705608964156,5.64373243796658,5.474314390104327,5.836255595521328,6.529768321345893,7.174612412499798,4737,5917.372789824283,6218,5176,3695,4438,-0.8860358833793125
Housing,20.776723753740367,18.582325574504647,18.068406919927806,19.134709709427536,24.553342640535814,23.226150637761286,16317,19483.302749527127,20523,16970,13894,14367,-5.971017066031166
