cat_id,major,cat_label,in_cpi_scope,all_cu,families_kids,married_kids,single_other,single_parent,gap_pp
23,Transport,Vehicle purchases (net outlay),PARTIAL,8.885817988078985,9.894041807844694,9.918329646824336,7.680060149045797,9.700920998370089,2.2139816587988967
37,Education,Education,PARTIAL,2.612300622689887,3.763259383957849,3.9048637612114434,1.9283076446783576,2.6373151621074955,1.8349517392794916
14,Household ops,Personal services (childcare proxy),TRUE,0.9107255835636509,2.0214272718480712,2.1025254612187356,0.3648747263439552,1.3765881821573749,1.6565525455041161
01,Food,Food at home,TRUE,10.362625287203224,11.19332909256755,11.201720911013345,9.5530837442781,11.1266029102763,1.6402453482894508
02,Food,Food away from home,TRUE,6.568212846725051,7.223494722063957,7.260397170705622,5.798191105902125,6.930070891345757,1.4253036161618313
31,Entertainment,Fees and admissions,TRUE,1.5567247177916153,2.0326443075686966,2.1158941202207044,1.0857787311204972,1.3706969345875144,0.9468655764481995
24,Transport,Gasoline and other fuels,TRUE,4.403782757816923,4.842293532315317,4.911159184268734,4.068906039229561,4.294719478428215,0.7733874930857558
25,Transport,Other vehicle expenses,PARTIAL,7.002763810728913,7.374470400369597,7.503463698014146,6.766767652196988,6.348801131119534,0.6077027481726089
08,Housing,Other lodging,TRUE,2.242682561353268,2.0980535681094725,2.159646095136239,1.6275624156918247,1.608310586571883,0.47049115241764783
33,Entertainment,"Pets, toys, hobbies, and playground equipment",TRUE,1.7798275115713762,1.9218180433337184,2.0417588293916045,1.5236284027332434,0.9681283506470554,0.398189640600475
19,Apparel,Apparel: women and girls,TRUE,1.238719989344344,1.4272530399558188,1.417077854208697,1.039340129585812,1.5081593778842566,0.38791291037000675
18,Apparel,Apparel: men and boys,TRUE,0.7775298857846892,0.9188065298038424,0.9503901217763302,0.6700426792861723,0.6676747245841761,0.24876385051767003
20,Apparel,Apparel: children under 2,TRUE,0.12820085911225068,0.25950490983645635,0.27831117376826037,0.0375931536233166,0.10996995463739372,0.22191175621313974
17,Household ops,Household furnishings and equipment,TRUE,4.019180180480171,3.9331970033200983,3.9875063804963418,3.7504699144202913,3.5013648056870177,0.18272708889980693
35,Personal care,Personal care products and services,TRUE,1.6283174053478071,1.683646705895668,1.667436377336477,1.547953384489507,1.812540502327043,0.13569332140616086
21,Apparel,Footwear,TRUE,0.767540208451267,0.8691882519050173,0.8300721907586106,0.7496517104884899,1.180213263162029,0.11953654141652736
28,Health,Medical services,TRUE,2.084512670240751,2.1113022861535167,2.1997520721421453,2.005705313902833,1.4080081691966302,0.10559697225068376
27,Health,Health insurance,PARTIAL,6.751356931171123,6.140237863521027,6.396295666123818,6.065765905221026,4.10423580700273,0.07447195830000108
34,Entertainment,"Other entertainment supplies, equipment, services",TRUE,1.0655655822316938,1.017883419591394,1.0792153812498482,0.9486742884942836,0.5302122812874339,0.06920913109711035
16,Household ops,Housekeeping supplies,TRUE,1.4601578369018682,1.4244696383774498,1.458399163851146,1.357776254395082,1.154684523692634,0.0666933839823678
36,Reading,Reading,TRUE,0.20811827777962771,0.22049067694374913,0.2296978683065555,0.17690895822737224,0.14728118924650943,0.043581718716376894
12,Utilities,Telephone services,TRUE,2.4308214844660516,2.4613948320305012,2.4330959383583286,2.4524004334269476,2.686408891856332,0.008994398603553666
13,Utilities,Water and other public services,TRUE,1.37524557956778,1.3580336584488073,1.3636032182008215,1.3621989783507662,1.3137482080788645,-0.004165319901958897
30,Health,Medical supplies,TRUE,0.3879324697812261,0.29739361130337993,0.3135558202279964,0.3051679529422171,0.16888243033599748,-0.007774341638837168
11,Utilities,Fuel oil and other fuels,TRUE,0.20811827777962771,0.17985407501622414,0.18716122602756377,0.20565666393932025,0.12175244977711448,-0.025802588923096115
06,Housing,"Owned dwellings: maintenance, repairs, insurance",PARTIAL,4.8716326462655255,4.418813374896495,4.624340682044676,4.47800800513036,2.784596351354005,-0.05919463023386484
09,Utilities,Natural gas,TRUE,0.8208184875628517,0.7970068237766701,0.7996888748450451,0.8602198093805975,0.7756809300316163,-0.06321298560392741
22,Apparel,Other apparel products and services,TRUE,0.4195664480037295,0.3334526699074782,0.3232784813203374,0.4223701377678512,0.4143510790801799,-0.08891746786037302
03,Alcohol,Alcoholic beverages,TRUE,1.070560420898405,0.894369404824213,0.9102841447704236,0.9995356139846532,0.7678259332718025,-0.10516620916044017
26,Transport,Public and other transportation,TRUE,1.8830541773500715,1.6767825986029066,1.6564983836075935,1.8243736317197763,1.8380692417964375,-0.14759103311686972
29,Health,Drugs,TRUE,1.0955346142319604,0.8970479410145931,0.9224374711358498,1.0592423873863912,0.6951672132435245,-0.16219444637179814
15,Household ops,Other household expenses,TRUE,2.287636109353668,2.0953879576018903,2.0697114800320846,2.4037504699144203,2.2995503014355005,-0.30836251231253
10,Utilities,Electricity,TRUE,3.051846425360461,2.890035256736904,2.773389076590263,3.2905066230291236,3.8175284252695247,-0.4004713662922197
38,Tobacco,Tobacco products and smoking supplies,TRUE,0.5860610702274317,0.3874654307020053,0.3816144478743832,0.8358948276243339,0.4339885709797145,-0.4484293969223286
32,Entertainment,Audio and visual equipment and services,TRUE,1.606673104458726,1.311595169734154,1.3125592474660317,1.7867804780964596,1.3039294621290969,-0.47518530836230566
39,Miscellaneous,Miscellaneous,PARTIAL,2.0279044986846926,1.8633342425690664,1.8047689652657932,2.5054731208951595,2.3290065392848027,-0.6421388783260931
07,Housing,Rented dwellings,TRUE,9.423595617861544,5.766140935978583,4.508884081573126,16.46580128701267,15.763014747756417,-10.699660351034087
