year,cat_id,cat_label,major,families_kids,single_other,gap_pp
1988,01,Food at home,Food,9.01194554800682,7.04696117207955,1.9649843759272692
1989,01,Food at home,Food,9.130554937895951,7.612511133232043,1.5180438046639084
1990,01,Food at home,Food,9.5130479944004,7.858894745081668,1.6541532493187328
1991,01,Food at home,Food,9.5514913753481,8.142544296237308,1.408947079110792
1992,01,Food at home,Food,9.412750627966918,8.18449460255152,1.2282560254153978
1993,01,Food at home,Food,9.480750203073177,8.20978952996646,1.2709606731067158
1994,01,Food at home,Food,9.208478842095946,8.235724743777453,0.972754098318493
1995,01,Food at home,Food,9.219456830465292,8.190118152524168,1.0293386779411247
1996,01,Food at home,Food,9.052910687009009,8.068259972489683,0.9846507145193257
1997,01,Food at home,Food,8.80764793001962,7.425496688741722,1.3821512412778976
1998,01,Food at home,Food,8.303834126269333,7.3376281350026336,0.9662059912666994
1999,01,Food at home,Food,8.377183809360075,7.691116702148249,0.6860671072118256
2000,01,Food at home,Food,8.236174246065179,7.578042527522244,0.6581317185429354
2001,01,Food at home,Food,8.152304286625197,7.350166884341896,0.802137402283301
2002,01,Food at home,Food,8.079089089706873,7.101687218360289,0.9774018713465837
2003,01,Food at home,Food,7.986395044030034,7.316898123228191,0.6694969208018424
2004,01,Food at home,Food,7.926456920587408,7.372444739903607,0.5540121806838014
2005,01,Food at home,Food,7.499091150411631,6.8281240093831235,0.6709671410285072
2006,01,Food at home,Food,7.49989803757514,6.703532664646881,0.7963653729282596
2007,01,Food at home,Food,7.498860495911744,6.775320139697323,0.7235403562144214
2008,01,Food at home,Food,7.786834534136067,7.276489596915925,0.5103449372201414
2009,01,Food at home,Food,8.126046076348484,7.454281567489114,0.6717645088593693
2010,01,Food at home,Food,8.009910984448194,7.232166168663515,0.7777448157846791
2011,01,Food at home,Food,8.421609716707938,7.488308269623904,0.933301447084034
2012,01,Food at home,Food,8.05667595323102,7.465700376189423,0.590975577041597
2013,01,Food at home,Food,8.039981935379194,7.804097840774343,0.2358840946048506
2014,01,Food at home,Food,7.845734187769321,7.316426146010187,0.5293080417591343
2015,01,Food at home,Food,7.540214027364519,7.190416206072135,0.349797821292384
2016,01,Food at home,Food,7.411680339599292,6.60059561587658,0.8110847237227121
2017,01,Food at home,Food,7.692001794275497,7.203410125005987,0.4885916692695105
2018,01,Food at home,Food,7.566156879185954,7.2201995366211165,0.34595734256483723
2019,01,Food at home,Food,7.732840167353275,7.122340902971008,0.6104992643822671
2020,01,Food at home,Food,8.48902826501112,7.724700325297446,0.7643279397136737
2021,01,Food at home,Food,8.034455107074255,7.770017460713395,0.26443764636086
2022,01,Food at home,Food,8.109112587538215,7.8409898745364766,0.2681227130017385
2023,01,Food at home,Food,8.257055029871458,7.536497333405161,0.7205576964662965
2024,01,Food at home,Food,8.218772612129875,7.634262286390867,0.5845103257390081
1988,02,Food away from home,Food,6.194220975313105,6.612444989137096,-0.4182240138239912
1989,02,Food away from home,Food,6.190646739137157,6.53848168910777,-0.34783494997061304
1990,02,Food away from home,Food,6.169284702689466,6.643009967124145,-0.47372526443467944
1991,02,Food away from home,Food,5.574956866984926,5.604220585307585,-0.029263718322659393
1992,02,Food away from home,Food,5.204182662385705,5.564278704612365,-0.3600960422266599
1993,02,Food away from home,Food,5.403529363064215,5.584990035483401,-0.18146067241918562
1994,02,Food away from home,Food,5.30452733568218,5.4264275256222545,-0.12190018994007445
1995,02,Food away from home,Food,5.118366809741177,5.312388113139993,-0.19402130339881563
1996,02,Food away from home,Food,5.330160556234842,5.459078404401651,-0.1289178481668083
1997,02,Food away from home,Food,5.267301192473047,5.625,-0.35769880752695293
1998,02,Food away from home,Food,5.912841392767922,5.757465256675175,0.15537613609274725
1999,02,Food away from home,Food,5.649236925959849,5.883491387652409,-0.2342544616925597
2000,02,Food away from home,Food,5.417057429396839,5.832453626903936,-0.4153961975070972
2001,02,Food away from home,Food,5.54775892843719,5.764765636337252,-0.2170067079000617
2002,02,Food away from home,Food,5.6272584730224,5.676459286687393,-0.04920081366499307
2003,02,Food away from home,Food,5.406840683666932,5.519072738364374,-0.1122320546974418
2004,02,Food away from home,Food,5.579028194228564,5.747050024929367,-0.1680218307008028
2005,02,Food away from home,Food,5.885271367667682,5.541114562860584,0.3441568048070982
2006,02,Food away from home,Food,5.6377784524587335,5.397535076624408,0.24024337583432587
2007,02,Food away from home,Food,5.559891857888665,5.279394644935972,0.28049721295269325
2008,02,Food away from home,Food,5.571504230549394,5.422643006973185,0.14886122357620923
2009,02,Food away from home,Food,5.649374269974512,5.181422351233672,0.4679519187408401
2010,02,Food away from home,Food,5.281789722963282,5.392938992196339,-0.11114926923305735
2011,02,Food away from home,Food,5.445872827761129,5.222772970399619,0.22309985736150928
2012,02,Food away from home,Food,5.359387004644355,5.05919451206019,0.3001924925841646
2013,02,Food away from home,Food,5.324058022199404,5.087830571105535,0.23622745109386933
2014,02,Food away from home,Food,5.2597920923522485,5.096031409168082,0.16376068318416692
2015,02,Food away from home,Food,5.568546958179468,5.277770636777295,0.2907763214021726
2016,02,Food away from home,Food,5.686444098109465,5.345896597178148,0.3405475009313177
2017,02,Food away from home,Food,5.8435728281083374,5.694717179941568,0.14885564816676933
2018,02,Food away from home,Food,5.745627183723127,5.588916733651709,0.15671045007141782
2019,02,Food away from home,Food,5.731581367431044,5.710887712054573,0.020693655376470943
2020,02,Food away from home,Food,4.073535212822825,3.7899380598012566,0.2835971530215682
2021,02,Food away from home,Food,4.526784943622552,4.589673235220753,-0.06288829159820164
2022,02,Food away from home,Food,5.357783377331912,4.739946586738909,0.6178367905930031
2023,02,Food away from home,Food,5.378272840117138,4.783709529709637,0.5945633104075005
2024,02,Food away from home,Food,5.303896641883324,4.633573082156679,0.6703235597266453
1988,03,Alcoholic beverages,Alcohol,0.7705068847029543,1.6266503258871372,-0.856143441184183
1989,03,Alcoholic beverages,Alcohol,0.7500565858423373,1.5298370618745742,-0.779780476032237
1990,03,Alcoholic beverages,Alcohol,0.769971126799207,1.5081145958357252,-0.7381434690365182
1991,03,Alcoholic beverages,Alcohol,0.6977265159535668,1.4533147521401553,-0.7555882361865884
1992,03,Alcoholic beverages,Alcohol,0.6863596084665218,1.3837095191364082,-0.6973499106698864
1993,03,Alcoholic beverages,Alcohol,0.6708217658547729,1.2880960482185388,-0.6172742823637659
1994,03,Alcoholic beverages,Alcohol,0.6265580855437136,1.230783308931186,-0.6042252233874723
1995,03,Alcoholic beverages,Alcohol,0.6461126460124514,1.123344074471894,-0.47723142845944266
1996,03,Alcoholic beverages,Alcohol,0.6563814800605198,1.2981430536451168,-0.6417615735845971
1997,03,Alcoholic beverages,Alcohol,0.6062643617514168,1.2003311258278146,-0.5940667640763978
1998,03,Alcoholic beverages,Alcohol,0.6099752610878183,1.2236133057817755,-0.6136380446939572
1999,03,Alcoholic beverages,Alcohol,0.5768794667743681,1.2425004838397522,-0.6656210170653841
2000,03,Alcoholic beverages,Alcohol,0.7294623035622636,1.2743175991554818,-0.5448552955932182
2001,03,Alcoholic beverages,Alcohol,0.6151087503489724,1.2697721665941082,-0.6546634162451358
2002,03,Alcoholic beverages,Alcohol,0.7183253616407151,1.156251091626786,-0.43792572998607093
2003,03,Alcoholic beverages,Alcohol,0.7577145181547928,1.2487888900850468,-0.49107437193025394
2004,03,Alcoholic beverages,Alcohol,0.7231596766997908,1.5024098387900948,-0.7792501620903041
2005,03,Alcoholic beverages,Alcohol,0.7062991401511393,1.2077600963672095,-0.5014609562160702
2006,03,Alcoholic beverages,Alcohol,0.7226773280295155,1.341294820131188,-0.6186174921016726
2007,03,Alcoholic beverages,Alcohol,0.6655236517865876,1.2456344586728754,-0.5801108068862878
2008,03,Alcoholic beverages,Alcohol,0.637727644666938,1.165032031294291,-0.527304386627353
2009,03,Alcoholic beverages,Alcohol,0.6637198083069725,1.1088534107402033,-0.44513360243323075
2010,03,Alcoholic beverages,Alcohol,0.6076390573967899,1.0907719532360536,-0.48313289583926367
2011,03,Alcoholic beverages,Alcohol,0.6579408048574457,1.1789744882242572,-0.5210336833668116
2012,03,Alcoholic beverages,Alcohol,0.6311931143838133,1.042819207789334,-0.4116260934055206
2013,03,Alcoholic beverages,Alcohol,0.6069501299775257,1.1113255935802333,-0.5043754636027076
2014,03,Alcoholic beverages,Alcohol,0.6510616407675229,0.9841893039049237,-0.3331276631374007
2015,03,Alcoholic beverages,Alcohol,0.6792262017614442,1.1157099154219905,-0.4364837136605463
2016,03,Alcoholic beverages,Alcohol,0.644265203186782,0.9959478592003124,-0.3516826560135303
2017,03,Alcoholic beverages,Alcohol,0.6959356973513935,1.0297428037741272,-0.3338071064227337
2018,03,Alcoholic beverages,Alcohol,0.7101028991731497,1.0047756395101424,-0.29467274033699264
2019,03,Alcoholic beverages,Alcohol,0.6770827139606237,1.0815905214971726,-0.4045078075365489
2020,03,Alcoholic beverages,Alcohol,0.6504832472215853,0.7530858696136535,-0.10260262239206819
2021,03,Alcoholic beverages,Alcohol,0.6077735995132215,0.9852831129957595,-0.37750951348253803
2022,03,Alcoholic beverages,Alcohol,0.6140499192504911,0.9395354199089284,-0.3254855006584373
2023,03,Alcoholic beverages,Alcohol,0.7230630756157581,0.8242202230242957,-0.10115714740853754
2024,03,Alcoholic beverages,Alcohol,0.6566963866341606,0.798770035520526,-0.1420736488863653
1988,04,Owned dwellings: mortgage interest and charges,Housing,7.606474526794789,4.016489332070637,3.589985194724152
1989,04,Owned dwellings: mortgage interest and charges,Housing,7.885535110864464,4.133703567873422,3.7518315429910425
1990,04,Owned dwellings: mortgage interest and charges,Housing,7.758676841553331,4.78526326775557,2.973413573797761
1991,04,Owned dwellings: mortgage interest and charges,Housing,8.223631484342777,4.21560820226956,4.008023282073217
1992,04,Owned dwellings: mortgage interest and charges,Housing,8.59436091025784,4.259077526987243,4.335283383270598
1993,04,Owned dwellings: mortgage interest and charges,Housing,7.898130288362187,3.980945899965975,3.917184388396212
1994,04,Owned dwellings: mortgage interest and charges,Housing,7.836769214109876,3.8479136163982433,3.9888555977116327
1995,04,Owned dwellings: mortgage interest and charges,Housing,8.209193356437837,4.193519513068385,4.015673843369451
1996,04,Owned dwellings: mortgage interest and charges,Housing,7.929905221968792,4.5563961485557085,3.373509073413084
1997,04,Owned dwellings: mortgage interest and charges,Housing,8.080649610414097,4.445364238410596,3.6352853720035014
1998,04,Owned dwellings: mortgage interest and charges,Housing,8.72269469759729,4.663506340910012,4.059188356687279
1999,04,Owned dwellings: mortgage interest and charges,Housing,8.928885953599233,4.528740081285078,4.400145872314154
2000,04,Owned dwellings: mortgage interest and charges,Housing,8.872046875780267,4.614688583923994,4.257358291856273
2001,04,Owned dwellings: mortgage interest and charges,Housing,9.123697217152284,5.0899724278043825,4.033724789347901
2002,04,Owned dwellings: mortgage interest and charges,Housing,9.106953285401296,5.211862926607748,3.8950903587935484
2003,04,Owned dwellings: mortgage interest and charges,Housing,9.335153713057409,5.249937201708113,4.085216511349295
2004,04,Owned dwellings: mortgage interest and charges,Housing,8.473030871258992,5.301645338208409,3.1713855330505822
2005,04,Owned dwellings: mortgage interest and charges,Housing,8.77481182359449,5.44601534267419,3.3287964809202997
2006,04,Owned dwellings: mortgage interest and charges,Housing,9.29097210991095,6.31526311145101,2.9757089984599396
2007,04,Owned dwellings: mortgage interest and charges,Housing,9.687601982078986,6.428987194412107,3.258614787666879
2008,04,Owned dwellings: mortgage interest and charges,Housing,9.407638154704848,6.017914847780486,3.3897233069243624
2009,04,Owned dwellings: mortgage interest and charges,Housing,8.997039810809556,5.69811320754717,3.2989266032623856
2010,04,Owned dwellings: mortgage interest and charges,Housing,8.370626982607737,5.497374604740217,2.8732523778675203
2011,04,Owned dwellings: mortgage interest and charges,Housing,7.832423636634089,5.049147273796522,2.783276362837567
2012,04,Owned dwellings: mortgage interest and charges,Housing,7.493018873352479,4.685771188315999,2.8072476850364803
2013,04,Owned dwellings: mortgage interest and charges,Housing,7.758682449586345,4.5335465901883465,3.225135859397999
2014,04,Owned dwellings: mortgage interest and charges,Housing,6.9816088859021,4.3718166383701185,2.6097922475319812
2015,04,Owned dwellings: mortgage interest and charges,Housing,6.582179592129248,3.727602251985912,2.8545773401433356
2016,04,Owned dwellings: mortgage interest and charges,Housing,6.669316350941999,3.4394375823853927,3.2298787685566066
2017,04,Owned dwellings: mortgage interest and charges,Housing,7.057165490101261,3.9226016571674887,3.1345638329337726
2018,04,Owned dwellings: mortgage interest and charges,Housing,5.897499020579263,3.2436521821362714,2.653846838442991
2019,04,Owned dwellings: mortgage interest and charges,Housing,5.479399079770849,3.2447715644915176,2.234627515279332
2020,04,Owned dwellings: mortgage interest and charges,Housing,6.023739793358518,3.7342364422262824,2.289503351132236
2021,04,Owned dwellings: mortgage interest and charges,Housing,4.947749204197949,3.201130789057953,1.7466184151399964
2022,04,Owned dwellings: mortgage interest and charges,Housing,5.3406829946273335,3.3027840221338405,2.037898972493493
2023,04,Owned dwellings: mortgage interest and charges,Housing,5.560204157246381,3.5123633033453645,2.0478408539010164
2024,04,Owned dwellings: mortgage interest and charges,Housing,5.938961851161094,3.523777546079488,2.4151843050816066
1988,05,Owned dwellings: property taxes,Housing,1.722021995685499,1.78263049412289,-0.060608498437391134
1989,05,Owned dwellings: property taxes,Housing,2.0109802887344617,1.7132079425787186,0.2977723461557431
1990,05,Owned dwellings: property taxes,Housing,1.95752953890859,1.9934248290977403,-0.035895290189150275
1991,05,Owned dwellings: property taxes,Housing,2.5310643627374447,2.428827393987657,0.10223696874978794
1992,05,Owned dwellings: property taxes,Housing,2.5208022439253117,2.3601570166830226,0.16064522724228913
1993,05,Owned dwellings: property taxes,Housing,2.5203857728098065,2.444952121712925,0.0754336510968816
1994,05,Owned dwellings: property taxes,Housing,2.7365501284985267,2.452415812591508,0.28413431590701865
1995,05,Owned dwellings: property taxes,Housing,2.69504344518141,2.39437880415324,0.3006646410281699
1996,05,Owned dwellings: property taxes,Housing,2.7483853466010957,2.4329436038514443,0.3154417427496514
1997,05,Owned dwellings: property taxes,Housing,2.787110846242799,2.4213576158940397,0.3657532303487594
1998,05,Owned dwellings: property taxes,Housing,2.821150627790068,2.447226611563551,0.37392401622651716
1999,05,Owned dwellings: property taxes,Housing,2.971789908875129,2.7830462550803174,0.18874365379481173
2000,05,Owned dwellings: property taxes,Housing,2.938376954598372,2.748454230131202,0.18992272446716996
2001,05,Owned dwellings: property taxes,Housing,3.116047298963947,2.746335800319257,0.3697114986446901
2002,05,Owned dwellings: property taxes,Housing,2.97673120760692,2.7177140461801796,0.25901716142674047
2003,05,Owned dwellings: property taxes,Housing,3.254557262953744,3.0717335917034485,0.1828236712502953
2004,05,Owned dwellings: property taxes,Housing,3.114020799071235,2.951637028419478,0.1623837706517568
2005,05,Owned dwellings: property taxes,Housing,3.223777934469916,2.9861155138527864,0.2376624206171294
2006,05,Owned dwellings: property taxes,Housing,3.3659566744488068,3.0473277053857695,0.3186289690630373
2007,05,Owned dwellings: property taxes,Housing,3.432957707180733,3.1344586728754367,0.29849903430529645
2008,05,Owned dwellings: property taxes,Housing,3.4550798311512554,3.0954135721979705,0.35966625895328486
2009,05,Owned dwellings: property taxes,Housing,3.758241025923813,3.323657474600871,0.4345835513229419
2010,05,Owned dwellings: property taxes,Housing,3.7716976658941146,3.330335644454759,0.44136202143935543
2011,05,Owned dwellings: property taxes,Housing,3.6598128805693935,3.290486992074827,0.36932588849456627
2012,05,Owned dwellings: property taxes,Housing,3.57615622313518,3.216972781588847,0.35918344154633264
2013,05,Owned dwellings: property taxes,Housing,3.6745584057608767,3.1740341394810136,0.500524266279863
2014,05,Owned dwellings: property taxes,Housing,3.3392498757101525,3.448641765704584,-0.1093918899944315
2015,05,Owned dwellings: property taxes,Housing,3.392041111382662,2.917812797244145,0.47422831413851707
2016,05,Owned dwellings: property taxes,Housing,3.486526889508503,2.9316994580871945,0.5548274314213084
2017,05,Owned dwellings: property taxes,Housing,3.3684199735807425,2.995833133770774,0.3725868398099683
2018,05,Owned dwellings: property taxes,Housing,3.705063277990722,3.0734313679133765,0.6316319100773455
2019,05,Owned dwellings: property taxes,Housing,3.3575714148541644,3.000179517099004,0.3573918977551602
2020,05,Owned dwellings: property taxes,Housing,3.8130253237527967,3.371061895637449,0.4419634281153475
2021,05,Owned dwellings: property taxes,Housing,3.639446230979185,3.302984950527979,0.33646128045120616
2022,05,Owned dwellings: property taxes,Housing,3.53327859219708,3.1298633927027493,0.4034151994943307
2023,05,Owned dwellings: property taxes,Housing,3.446306991527822,2.995205516349728,0.45110147517809374
2024,05,Owned dwellings: property taxes,Housing,3.6244875770676432,2.9918532525138284,0.6326343245538149
1988,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.5729805888334658,1.9553228232410451,-0.3823422344075793
1989,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.4930181621449752,2.0642321999266517,-0.5712140377816766
1990,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.5009122252535545,2.066482283567291,-0.5655700583137366
1991,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.623211997271688,2.110292653792554,-0.4870806565208661
1992,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.621653948588471,1.9725220804710504,-0.3508681318825795
1993,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.5819338473521354,2.284547708161182,-0.7026138608090466
1994,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.6365934925435306,2.132137628111274,-0.49554413556774324
1995,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.7682594549996336,2.434658073755818,-0.6663986187561846
1996,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.70047444254936,2.2567056396148555,-0.5562311970654954
1997,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8255187759637443,2.214403973509934,-0.38888519754618955
1998,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8576047408911145,2.0744702402657915,-0.21686549937467703
1999,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.9769165900963408,2.217921424424231,-0.2410048343278901
2000,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8851840189257445,2.273412758256673,-0.3882287393309285
2001,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.91419174912075,2.093310114642287,-0.17911836552153693
2002,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.189658394187777,2.1133894575051526,0.07626893668262458
2003,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.085122924735852,2.4652815157713426,-0.38015859103549055
2004,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.943330008948681,2.4896127638357988,-0.5462827548871179
2005,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.083454967880415,2.3077410765231727,-0.22428610864275766
2006,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.9061411420414796,2.2266670588581348,-0.3205259168166552
2007,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.90901199919133,2.2788125727590223,-0.36980057356769236
2008,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8396395172442703,2.4746300810703556,-0.6349905638260853
2009,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.6435319022931103,2.5805515239477503,-0.93701962165464
2010,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8135642537649117,2.46874184096777,-0.6551775872028585
2011,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.7984962244369191,2.2991402727603685,-0.5006440483234493
2012,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.7304226982799913,2.5614073910157114,-0.8309846927357201
2013,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.8575920460160285,2.291591980806883,-0.43399993479085475
2014,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.9282822283420424,2.514855687606112,-0.5865734592640695
2015,06,"Owned dwellings: maintenance, repairs, insurance",Housing,1.9966945789223185,2.485925088048536,-0.48923050912621746
2016,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.0445178808892206,2.3287604354830833,-0.2842425545938627
2017,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.1363932163943615,2.595909765793381,-0.4595165493990194
2018,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.157908603404063,2.8181001465790345,-0.6601915431749714
2019,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.437082844294228,2.8947132214343414,-0.45763037714011334
