item_code,cex_share,cat_id,cat_label,major,ri_raw,n_items,n_missing_ri,cpi_share,diff,ratio
MEDSERVS,2.084477964803623,28,Medical services,Health,5.952,2,0,8.415932582045446,-6.331454617241823,0.24768235064651647
HLTHINSR,6.7512445265804235,27,Health insurance,Health,0.591,1,0,0.8356545961002785,5.915589930480145,8.078989283474574
OWNEXPEN,4.871551537552237,06,"Owned dwellings: maintenance, repairs, insurance",Housing,0.408,1,0,0.5768986044144054,4.294652933137831,8.444380867409482
RNTDWELL,9.423438722674526,07,Rented dwellings,Housing,7.75,1,0,10.95824554953834,-1.5348068268638144,0.859940460366078
MISC,2.027870735727486,39,Miscellaneous,Miscellaneous,0.548,4,1,0.7748540078899369,1.2530167278375492,2.6171004022418796
VEHPURCH,8.885670046451226,23,Vehicle purchases (net outlay),Transport,5.455,2,0,7.713190899707309,1.1724791467439175,1.1520096108069113
FEESADM,1.5566987995937598,31,Fees and admissions,Entertainment,1.871,1,0,2.6455325707337076,-1.0888337711399478,0.5884254901318517
FOODAWAY,6.568103491334099,02,Food away from home,Food,5.412,1,0,7.652390311496967,-1.084286820162868,0.8583074338832621
FOODHOME,10.362452757937499,01,Food at home,Food,8.071,1,0,11.41212901036438,-1.049676252426881,0.908020996654211
DRUGS,1.0955163744734695,29,Drugs,Health,1.34,1,0,1.894716004694371,-0.7991996302209015,0.5781955563573671
VEHOTHXP,7.00264722041856,25,Other vehicle expenses,Transport,5.415,6,1,7.656632213000014,-0.6539849925814538,0.9145858160104559
ELECTRIC,3.051795614604665,10,Electricity,Utilities,2.419,1,0,3.4203865786236447,-0.3685909640189795,0.8922370452736077
HKPGSUPP,1.4601335264638795,16,Housekeeping supplies,Household ops,0.788,1,0,1.1142061281337048,0.3459273983301747,1.3104698400013317
HHFURNSH,4.019113264405707,17,Household furnishings and equipment,Household ops,2.62,5,0,3.7045939793278,0.31451928507790683,1.0848997992311633
OTHLODGE,2.242645222516358,08,Other lodging,Housing,1.364,1,0,1.928651216718748,0.31399400579760983,1.1628049712025246
PUBTRANS,1.8830228260326658,26,Public and other transportation,Transport,1.116,1,0,1.5779873591335212,0.3050354668991446,1.1933066606228333
PHONE,2.4307810132694003,12,Telephone services,Utilities,1.529,1,0,2.161955799386338,0.26882521388306246,1.124343529113485
MEDSUPPL,0.3879260110217605,30,Medical supplies,Health,0.115,1,0,0.16260622428347213,0.22531978673828837,2.385677502390606
OTHAPPRL,0.4195594625643075,22,Other apparel products and services,Apparel,0.44700000000000006,4,0,0.6320433239540179,-0.21248386138971037,0.6638144042714881
TOBACCO,0.586051312788239,38,Tobacco products and smoking supplies,Tobacco,0.562,1,0,0.79464954823749,-0.20859823544925105,0.7374965657352779
PERSCARE,1.6282902951900504,35,Personal care products and services,Personal care,1.2970000000000002,2,0,1.8339154164840294,-0.20562512129397903,0.8878764421490049
EDUCATN,2.612257130013486,37,Education,Education,1.7029999999999998,4,0,2.40798608656307,0.20427104345041602,1.0848306576978495
WATER,1.3752226828496745,13,Water and other public services,Utilities,1.11,1,0,1.5695035561274269,-0.19428087327775234,0.8762150792718696
WMNSGRLS,1.2386993656660505,19,Apparel: women and girls,Apparel,1.01,1,0,1.42810683935919,-0.18940747369313948,0.8673716360198029
NATRLGAS,0.8208048216039825,09,Natural gas,Utilities,0.684,1,0,0.9671535426947387,-0.14634872109075625,0.8486809853552405
MENBOYS,0.7775169405457603,18,Apparel: men and boys,Apparel,0.645,1,0,0.9120088231551263,-0.13449188260936606,0.8525322571506636
ALCBEVG,1.0705425969398799,03,Alcoholic beverages,Alcohol,0.844,1,0,1.1933882895239172,-0.12284569258403732,0.8970614227888523
HHPERSRV,0.9107104207249055,14,Personal services (childcare proxy),Household ops,0.724,1,0,1.023712229402033,-0.11300180867712761,0.8896156503443026
GASFUEL,4.40370943842299,24,Gasoline and other fuels,Transport,3.189,1,0,4.509141297739066,-0.10543185931607635,0.9766181957152371
TVAUDIO,1.6066463546609393,32,Audio and visual equipment and services,Entertainment,1.198,2,0,1.6939326668834749,-0.08728631222253558,0.9484712031776763
ENTEROTH,1.0655478414331618,34,"Other entertainment supplies, equipment, services",Entertainment,0.693,2,0,0.9798792472038799,0.08566859422928197,1.087427705478752
PETSPLAY,1.7797978788938282,33,"Pets, toys, hobbies, and playground equipment",Entertainment,1.3130000000000002,2,0,1.8565388911669474,-0.07674101227311914,0.9586644736405803
READING,0.20811481277991442,36,Reading,Reading,0.098,1,0,0.13856878243287193,0.06954603034704249,1.5018881534932536
HHOTHXPN,2.2875980220768195,15,Other household expenses,Household ops,1.666,2,1,2.3556693013588226,-0.06807127928200307,0.9711032107763439
FOOTWEAR,0.7675274295323244,21,Footwear,Apparel,0.528,1,0,0.7465746645362895,0.020952764996034934,1.0280651969472459
INFANT,0.1281987246724273,20,Apparel: children under 2,Apparel,0.097,1,0,0.13715481526518955,-0.008956090592762256,0.9347008664956779
OTHRFUEL,0.20811481277991442,11,Fuel oil and other fuels,Utilities,0.151,1,0,0.21350904232003734,-0.005394229540122919,0.9747353578962838
