basket,from,to,months,mean_gap,peak_gap,mean_se
pm_oer_all_in,2014-12-01,2018-04-01,41,-0.2531882432242915,-0.39157061208296984,0.03133391975103425
pm_oer_all_in,2018-11-01,2021-02-01,28,-0.2036106109335106,-0.40440531971520643,0.027866423910538184
pm_oer_all_in,2021-04-01,2022-08-01,17,0.4317129414508217,0.594719372300867,0.10754116932772062
pm_oer_all_in,2022-11-01,2026-02-01,39,-0.3208824448172983,-0.5492748103336442,0.048873177810081284
pm_ex_shelter,2014-01-01,2014-08-01,8,-0.12609849518752103,-0.166291713053357,0.021942213838364855
pm_ex_shelter,2015-05-01,2015-08-01,4,0.12230454997353979,0.13720410208066802,0.048562862846342224
pm_ex_shelter,2016-05-01,2018-01-01,21,-0.12202366557702862,-0.1746998831317681,0.03889020867725544
pm_ex_shelter,2018-09-01,2018-11-01,3,0.06120673697960951,0.07460326595836175,0.027620211300465117
pm_ex_shelter,2019-09-01,2020-08-01,12,-0.09502245624024852,-0.1466226911586599,0.037102899660764486
pm_ex_shelter,2022-09-01,2022-12-01,4,-0.2027329694675788,-0.2498933073165066,0.08824298540601026
pm_ex_shelter,2023-11-01,2024-08-01,10,-0.16234689433123561,-0.23253945972570023,0.060331197179643664
pm_ex_shelter,2025-02-01,2025-06-01,5,-0.09722076705937166,-0.11076192521990436,0.0360532144404407
pm_ex_shelter,2025-08-01,2026-01-01,5,-0.08162877872444074,-0.11004959227556288,0.026562660684815217
oer_all_in,2014-12-01,2018-04-01,41,-0.2525572165377136,-0.39315882598480734,0.03177060599930845
oer_all_in,2018-11-01,2021-02-01,28,-0.23222868332915853,-0.4537432347426762,0.03766956977843614
oer_all_in,2021-04-01,2022-07-01,16,0.45894245864468325,0.5900284768158173,0.1128943429712974
oer_all_in,2022-11-01,2026-02-01,39,-0.31137577817652523,-0.5265614149029263,0.05172950933976321
all_in,2014-01-01,2018-04-01,52,-0.2983766691989334,-0.5097799750065857,0.03420666089671715
all_in,2018-11-01,2021-02-01,28,-0.2990847435770621,-0.5679166013262016,0.04572899165298431
all_in,2021-04-01,2022-07-01,16,0.5857962077813057,0.7572731519898568,0.134468278698478
all_in,2022-11-01,2026-02-01,39,-0.4007988376862072,-0.6471110639508559,0.05864975462023026
ex_shelter,2014-01-01,2014-08-01,8,-0.09534471111562193,-0.13713903009211492,0.021997056682321357
ex_shelter,2015-05-01,2015-08-01,4,0.13530937080090122,0.15107103458761317,0.04835813215553391
ex_shelter,2016-05-01,2018-01-01,21,-0.12445140087487089,-0.16881907883181668,0.03989706081580816
ex_shelter,2018-09-01,2018-11-01,3,0.06243308581515746,0.07528958051670198,0.027931713637368204
ex_shelter,2019-04-01,2020-09-01,18,-0.23153297038784143,-0.33032931443499614,0.059216100115110394
ex_shelter,2021-06-01,2021-10-01,5,0.3574540438539575,0.42199131763813735,0.15891435661043868
ex_shelter,2022-08-01,2022-12-01,5,-0.2961010443175381,-0.32150038504290634,0.10331627829748101
ex_shelter,2024-06-01,2024-09-01,4,-0.1651909258927442,-0.21139882880476524,0.0687815213074811
ex_shelter,2025-04-01,2025-06-01,3,-0.0852500600560487,-0.0947864964943701,0.03485136675370383
