basket,from,to,mean_gap
pm_oer_all_in,2021-01-01,2022-12-01,0.2682407651440769
pm_ex_shelter,2021-01-01,2022-12-01,0.05911260571388831
oer_all_in,2021-01-01,2022-12-01,0.2722205360537292
all_in,2021-01-01,2022-12-01,0.35274912133134906
ex_shelter,2021-01-01,2022-12-01,0.05681544706472481
pm_oer_all_in,2023-01-01,2024-12-01,-0.40413337868615745
pm_ex_shelter,2023-01-01,2024-12-01,-0.13434314266888292
oer_all_in,2023-01-01,2024-12-01,-0.3923301913489635
all_in,2023-01-01,2024-12-01,-0.4945391862886774
ex_shelter,2023-01-01,2024-12-01,-0.010883540516963105
pm_oer_all_in,2025-01-01,2026-07-01,-0.11076216161054103
pm_ex_shelter,2025-01-01,2026-07-01,-0.058163058643757724
oer_all_in,2025-01-01,2026-07-01,-0.09931620211559702
all_in,2025-01-01,2026-07-01,-0.14581088198286998
ex_shelter,2025-01-01,2026-07-01,-0.012166105906136822
