date,se_F,se_N,se_gap,basket,pair,gap_12m,z
2014-01-01,0.011904235106517414,0.011965590040596838,0.01687857098485745,all_in,fam,-0.22052511068895164,-13.0653898891556
2014-02-01,0.015633395199405143,0.01567344674863583,0.022137298354657168,all_in,fam,-0.27739386827585477,-12.530610729086444
2014-03-01,0.01529006032245674,0.0157112802341751,0.021923281489347052,all_in,fam,-0.22669323514339368,-10.340296695709004
2014-04-01,0.014652625401404381,0.014507979537001569,0.02061991516471242,all_in,fam,-0.13771507971300778,-6.678741333945176
2014-05-01,0.01560171813424728,0.015225270966989474,0.0217995982705818,all_in,fam,-0.13829118928136985,-6.343749438171599
2014-06-01,0.016001204098274803,0.015445408806938891,0.02223958600801984,all_in,fam,-0.1782812745171558,-8.016393580926623
2014-07-01,0.015152048676907264,0.014923908655356363,0.02126752521241688,all_in,fam,-0.1906428153158446,-8.96403382207062
2014-08-01,0.015699695122243403,0.016349310451243895,0.022666724050081567,all_in,fam,-0.1958061456243776,-8.638484555233864
2014-09-01,0.01622862756789801,0.016974838303140203,0.023484324306977514,all_in,fam,-0.17246214443733532,-7.343713286487636
2014-10-01,0.01783991163194091,0.017838602735065837,0.02522851946854906,all_in,fam,-0.15239173936900663,-6.040455111089044
2014-11-01,0.02000534007195902,0.020822275015052537,0.02887526221867449,all_in,fam,-0.24489168159940178,-8.481020180693738
2014-12-01,0.026397262806735364,0.027719535058729084,0.03827777563495514,all_in,fam,-0.3643199300668032,-9.517792610031066
2015-01-01,0.03944290673017554,0.037481006391231884,0.054411108529645785,all_in,fam,-0.44213104793228153,-8.12574968384236
2015-02-01,0.03305695081255882,0.03167990003751179,0.04578622132706162,all_in,fam,-0.4262053530134535,-9.308594172228576
2015-03-01,0.03160943225303357,0.03006363101039769,0.043623137403085356,all_in,fam,-0.3739929210207382,-8.57326967487411
2015-04-01,0.035446581225714986,0.03314981751054486,0.048532159663192784,all_in,fam,-0.3992688568279501,-8.226892427594956
2015-05-01,0.030389293165486754,0.028818943173387044,0.04188126818434241,all_in,fam,-0.3425783156238871,-8.179750291132834
2015-06-01,0.030622615504383555,0.02905809871308743,0.042215135687912284,all_in,fam,-0.30763315856665585,-7.287271580527984
2015-07-01,0.03022611446160685,0.02857770804759335,0.04159691566329937,all_in,fam,-0.29050864780247876,-6.983898761964994
2015-08-01,0.030650920588441776,0.02887431933400958,0.0421094437142231,all_in,fam,-0.3178261187168019,-7.547620929731051
2015-09-01,0.03482153268966586,0.032596900473859186,0.047697977518550504,all_in,fam,-0.39930635698833816,-8.37155740687415
2015-10-01,0.031148287896431176,0.029473475326975578,0.042882415821975314,all_in,fam,-0.4142365699500772,-9.659823543285533
2015-11-01,0.027916152804096813,0.026521508856709192,0.03850586993457214,all_in,fam,-0.3569179834979952,-9.269183740153334
2015-12-01,0.024827161138777743,0.024054606764357687,0.03456894613375881,all_in,fam,-0.3094883319747832,-8.95278469807177
2016-01-01,0.017752262068842565,0.018853968941244057,0.025896234347840268,all_in,fam,-0.21018847441660604,-8.116565196056609
2016-02-01,0.023890860031753024,0.023542240809099176,0.0335411731364666,all_in,fam,-0.2664005595266916,-7.942493795396079
2016-03-01,0.02302673425024675,0.022741989236511585,0.03236400106082521,all_in,fam,-0.36912720394159937,-11.405487326732509
2016-04-01,0.021665102197438193,0.021920607276224573,0.030820280280748763,all_in,fam,-0.36432287922025797,-11.82088144239962
2016-05-01,0.024898749357780626,0.024564700831500995,0.03497673864903254,all_in,fam,-0.4300500058505241,-12.295314613685953
2016-06-01,0.02716568520136848,0.0274569520155179,0.03862458629477218,all_in,fam,-0.4757869674939519,-12.31824112918329
2016-07-01,0.0282456748769244,0.027937084590733803,0.03972780946242486,all_in,fam,-0.5097799750065857,-12.831816853349114
2016-08-01,0.029198350790497252,0.028611936844944168,0.04088014944816133,all_in,fam,-0.4708386756209215,-11.51753802216343
2016-09-01,0.025654778358195966,0.026045752899397374,0.036558841566775975,all_in,fam,-0.3951463600035954,-10.808503307793465
2016-10-01,0.023412882441116546,0.024135274889190244,0.03362550457879139,all_in,fam,-0.3338456805922263,-9.928347091713018
2016-11-01,0.02226340329320897,0.02340216916904404,0.03230047442395581,all_in,fam,-0.33094842339420616,-10.245930726910828
2016-12-01,0.022728281897401746,0.023817364726927807,0.03292175056924016,all_in,fam,-0.27548811480500035,-8.367966770952869
2017-01-01,0.027814988035433624,0.02443359201978454,0.03702261441876565,all_in,fam,-0.22208174562095007,-5.9985430285653605
2017-02-01,0.03602478897284319,0.03229971886169532,0.04838447332649638,all_in,fam,-0.2088509112487369,-4.3164861967065296
2017-03-01,0.029794643819068593,0.026099058399106503,0.03960911068965237,all_in,fam,-0.2464491111248135,-6.222030912428356
2017-04-01,0.02673854964436803,0.023979281422472402,0.03591595710297115,all_in,fam,-0.3051193920370787,-8.495371323735034
2017-05-01,0.023000520213640834,0.02093425790412434,0.03110091773717446,all_in,fam,-0.3310919827809622,-10.645730315064398
2017-06-01,0.022759368122665442,0.020552184448850513,0.030665634233822275,all_in,fam,-0.3458331289880823,-11.277546922758571
2017-07-01,0.024209774789257513,0.020843550905267242,0.031946311362769805,all_in,fam,-0.3487502948225085,-10.916762528926633
2017-08-01,0.025427256550564624,0.02220993668022155,0.033761319035660944,all_in,fam,-0.322268015836924,-9.545480598566755
2017-09-01,0.030289217344045067,0.026867690468205353,0.04048838695737449,all_in,fam,-0.2705297942517282,-6.681663918509213
2017-10-01,0.026634271635478584,0.023713040457405077,0.0356608007942473,all_in,fam,-0.32342765116943895,-9.069556599009784
2017-11-01,0.026876278197367744,0.025640690672784742,0.037145381246121774,all_in,fam,-0.2812066222779963,-7.570433061778203
2017-12-01,0.02144325162683107,0.021152334577588368,0.0301203303171435,all_in,fam,-0.25410221522335075,-8.43623600896316
2018-01-01,0.02064781285314907,0.021615655502042717,0.029892620132762827,all_in,fam,-0.2555592480980362,-8.549242152846242
2018-02-01,0.022502927637288103,0.02339203059017755,0.03245872528890848,all_in,fam,-0.206747283951203,-6.369544155261418
2018-03-01,0.02052624554257991,0.021133779117760588,0.029461218166813387,all_in,fam,-0.1671575262634395,-5.673815838739968
2018-04-01,0.02369063828138934,0.023919782430963408,0.03366604125412217,all_in,fam,-0.11498067882917962,-3.4153311332707124
2018-05-01,0.029647019142318928,0.029775860186575957,0.04201841969750343,all_in,fam,-0.04898005519808901,-1.1656805646357808
2018-06-01,0.02988085744375968,0.03044585939691382,0.04265930140064337,all_in,fam,-0.01702360524700186,-0.3990596350165527
2018-07-01,0.028387383267292877,0.029437956632875607,0.04089543763652915,all_in,fam,-0.00494623274307493,-0.12094827758137969
2018-08-01,0.02351528083172453,0.024317263366149592,0.0338274700533982,all_in,fam,-0.047867292824332885,-1.4150420574986005
2018-09-01,0.017736905239978427,0.01822483316892504,0.025431129576311086,all_in,fam,-0.08790663455249259,-3.4566547383871216
2018-10-01,0.020822332322912297,0.021730622188396158,0.030096336389345026,all_in,fam,-0.051273700123699584,-1.703652546289719
2018-11-01,0.01358875315945454,0.013827084753853506,0.019386657401904893,all_in,fam,-0.13608600544077198,-7.019570347769206
2018-12-01,0.013752285113617512,0.01399366541955851,0.01962009219450239,all_in,fam,-0.2011941837433806,-10.254497366722662
2019-01-01,0.016159034934895882,0.016780026365413127,0.023295572430209677,all_in,fam,-0.2532649690613953,-10.871807070641523
2019-02-01,0.017160242593189875,0.015929052100058825,0.023413855442099157,all_in,fam,-0.26086168900070206,-11.141338497019209
2019-03-01,0.018376306561825477,0.016370340860940743,0.024610499847779934,all_in,fam,-0.24235976590092356,-9.847819727350494
2019-04-01,0.021174134240468493,0.0197858418891939,0.028979708419816102,all_in,fam,-0.25505917799151234,-8.801302425013526
2019-05-01,0.022048321808632133,0.020851497445534443,0.030346555657901817,all_in,fam,-0.3132322288946332,-10.321837918797613
2019-06-01,0.02331884210472776,0.02288088794118115,0.03266961019176864,all_in,fam,-0.3454104204102304,-10.57283568376519
2019-07-01,0.025788869823899548,0.025710664643819204,0.03641571203781373,all_in,fam,-0.33009341334158115,-9.064587642795926
2019-08-01,0.02901952119240281,0.02891908417736935,0.040968842306002375,all_in,fam,-0.32700144175523693,-7.9817105719711225
2019-09-01,0.030097586944800775,0.030337300742806404,0.04273425506849656,all_in,fam,-0.3602729376514846,-8.430542127715142
2019-10-01,0.033195106691078745,0.03272390793980581,0.04661297307708431,all_in,fam,-0.37220138968212524,-7.984931342324213
2019-11-01,0.035670740320971464,0.03489776870193146,0.04990246462269861,all_in,fam,-0.3159357302783494,-6.331064661175935
2019-12-01,0.03745171608479519,0.03685227814556837,0.052542567906550236,all_in,fam,-0.2899240020960425,-5.51788794585921
2020-01-01,0.04546119413146361,0.041816452543896314,0.06176840515356175,all_in,fam,-0.27045009681720966,-4.378453614673176
2020-02-01,0.04269806282655182,0.04024095794338852,0.058672474511833314,all_in,fam,-0.268809398287817,-4.581524821040271
2020-03-01,0.04292286596265338,0.04035568251433643,0.05891479893580073,all_in,fam,-0.38253106334786846,-6.492953727376908
2020-04-01,0.051827301185442785,0.0465862953489533,0.06968753161438929,all_in,fam,-0.5679166013262016,-8.149472196385508
2020-05-01,0.05407645961834859,0.048246673199684356,0.07247071794657499,all_in,fam,-0.5656082455868683,-7.804645263813056
2020-06-01,0.05281342689422712,0.04610275569476174,0.07010507929503225,all_in,fam,-0.46910066690839525,-6.691393428630447
2020-07-01,0.046947539747620996,0.04182150451206047,0.06287376025025661,all_in,fam,-0.4038778290097911,-6.423630897885461
2020-08-01,0.04266600123715643,0.0375819151462509,0.05685761169473298,all_in,fam,-0.30934178949908464,-5.440639877030582
2020-09-01,0.04296566089187802,0.03590334824112077,0.055991949696354085,all_in,fam,-0.2593531317341302,-4.63197179488497
2020-10-01,0.04437522093647631,0.03512039661006039,0.05659154080963892,all_in,fam,-0.23870772769376547,-4.2180814354697285
2020-11-01,0.040483224885936496,0.031372857937456214,0.05121667416309963,all_in,fam,-0.1984127046875006,-3.873986507902775
2020-12-01,0.03670504045529592,0.027724900893807546,0.04599924047629874,all_in,fam,-0.15641218296351678,-3.400320991041334
2021-01-01,0.03609997380237056,0.027559192208085732,0.04541714636229421,all_in,fam,-0.1474387214770445,-3.2463228821317953
2021-02-01,0.033098339343615224,0.026412850243143573,0.04234546876906473,all_in,fam,-0.13351530557017544,-3.1530010046249473
2021-03-01,0.027548460965042963,0.025308855158785986,0.03740930166403677,all_in,fam,0.02297068126781987,0.6140366231402445
2021-04-01,0.053849293916506336,0.04988801830515509,0.07340681729731766,all_in,fam,0.35337231490815135,4.8138896075128415
2021-05-01,0.080070978373032,0.06781601809733703,0.10493032873384558,all_in,fam,0.513483270621129,4.893563918241147
2021-06-01,0.13377325640746143,0.09896908823217412,0.1664036194178609,all_in,fam,0.6618179207404928,3.977184649322939
2021-07-01,0.13459003807751732,0.09994616498096422,0.1676416244376965,all_in,fam,0.6903271482697093,4.117874367927443
2021-08-01,0.11260120923305457,0.08558442859790145,0.14143453163628544,all_in,fam,0.6013044864864092,4.2514687150994375
2021-09-01,0.09061948053207014,0.07150726512271656,0.11543474007954761,all_in,fam,0.5516043363752221,4.7784950699859
2021-10-01,0.09450883170865516,0.07705466396592815,0.12193990532158458,all_in,fam,0.6329642581383244,5.190788499212353
2021-11-01,0.1116353584105569,0.09039478051620797,0.14364424663740247,all_in,fam,0.6980181448253964,4.859353306278851
2021-12-01,0.13212121969897853,0.10099276192498526,0.1662995930722096,all_in,fam,0.7471218118942478,4.4926256167676675
2022-01-01,0.14197945074791174,0.10872136440987426,0.17882533241636478,all_in,fam,0.720725432171033,4.030331846345711
2022-02-01,0.14122904994688934,0.10808519093369393,0.17784277620435987,all_in,fam,0.7502888000003871,4.21883202688102
2022-03-01,0.11978657162464451,0.09491360448050704,0.152831328781334,all_in,fam,0.7572731519898568,4.9549602036984055
2022-04-01,0.0871133408046486,0.07400539869187613,0.11430456325838612,all_in,fam,0.5874745240960202,5.139554426781989
2022-05-01,0.07681337884192672,0.07332051500010099,0.10618942079601616,all_in,fam,0.49951258565368306,4.70397693018044
2022-06-01,0.08128187244746024,0.08547933319946865,0.11795532710645577,all_in,fam,0.3702089225298799,3.138551955315786
2022-07-01,0.07352995672543962,0.07127977404429918,0.10240830397898097,all_in,fam,0.23724221580094884,2.3166306498898974
2022-08-01,0.06000404776478883,0.059808022749108826,0.08472004091899966,all_in,fam,0.1408567060580559,1.6626137632856925
2022-09-01,0.06422833826904316,0.062259503834309546,0.08945124512547067,all_in,fam,0.020053654465890247,0.2241853027060894
2022-10-01,0.05892498287923915,0.056800651859168806,0.0818441669207105,all_in,fam,-0.10585888611231908,-1.2934200456200344
2022-11-01,0.06260823496874202,0.056871095877725944,0.08458198763468915,all_in,fam,-0.27573625623642517,-3.259987899874547
2022-12-01,0.07323757814599022,0.0604311763164973,0.09495088163722129,all_in,fam,-0.4280922849443147,-4.50856566640346
2023-01-01,0.07987980170824802,0.06768644351959413,0.10470070370957509,all_in,fam,-0.4207059200850738,-4.018176623263702
