item_code,series,period,cum,annualized
SEEB03,Day care and preschool,2000s,52.59712679575266,4.317494737414895
SAS,All services,2000s,32.36060606060607,2.8436642161086434
SASL2RS,Services less rent of shelter,2000s,37.9801836636056,3.27223739427982
SA0,All items,2000s,25.964942528735623,2.3355061258083287
SAC,Goods,2000s,17.343333333333334,1.6124196295798088
SEHA,Rent,2000s,33.787846481876336,2.9540408883387936
SEFV,Food away from home,2000s,33.32669789227165,2.9184939956107936
SEGC,Personal care services,2000s,26.9492553778268,2.41520404589437
SEMD02,Nursing homes and adult day care,2000s,50.026050420168076,4.140361174322726
SERB02,Pet services incl. veterinary,2000s,64.71367884451995,5.117720364636114
SEEB01,College tuition,2000s,91.40363743033149,6.708466540789115
SEEB02,K-12 tuition,2000s,76.43313953488374,5.842817519082644
SEEB03,Day care and preschool,2010s,25.76419928942155,2.5800091742333775
SAS,All services,2010s,25.38557811915718,2.5456468189111625
SASL2RS,Services less rent of shelter,2010s,21.222778398562415,2.1616370351528413
SA0,All items,2010s,17.243896541183233,1.7834758236366044
SAC,Goods,2010s,4.787092009203775,0.5209518925178402
SEHA,Rent,2010s,34.18636896081853,3.321547354870469
SEFV,Food away from home,2010s,26.50424640570519,2.646908618943078
SEGC,Personal care services,2010s,19.682914854513633,2.0166126568369913
SEMD02,Nursing homes and adult day care,2010s,32.75453562686592,3.1984541455990056
SERB02,Pet services incl. veterinary,2010s,33.131305836961225,3.230958663613226
SEEB01,College tuition,2010s,33.96087326339665,3.302239418313757
SEEB02,K-12 tuition,2010s,38.25152818282176,3.664768497594406
SEEB03,Day care and preschool,2019-2026,29.783695468215,4.040401483413869
SAS,All services,2019-2026,31.57001001208144,4.256710632609684
SASL2RS,Services less rent of shelter,2019-2026,29.030132806269293,3.9483928050628725
SA0,All items,2019-2026,29.942328795909322,4.059712587260611
SAC,Goods,2019-2026,26.992913723087607,3.6973507833993002
SEHA,Rent,2019-2026,33.009985480523426,4.429275079665151
SEFV,Food away from home,2019-2026,37.76095363061393,4.987605202651602
SEGC,Personal care services,2019-2026,35.58108044332955,4.733489396489454
SEMD02,Nursing homes and adult day care,2019-2026,32.38878012556536,4.355026069468071
SERB02,Pet services incl. veterinary,2019-2026,47.46318273220742,6.07885445741283
SEEB01,College tuition,2019-2026,11.565197096859814,1.676653612593082
SEEB02,K-12 tuition,2019-2026,26.093744413590912,3.58546032320759
