variant,basket,group,method,from,to,cum
headline,oer,F1,lasp_lag2,2014-12-01,2019-12-01,8.636615476972697
headline,oer,F1,lasp_lag2,2019-12-01,2024-12-01,22.557820106289217
headline,oer,F1,lasp_lag2,2019-12-01,2026-07-01,29.421613301772155
headline,oer,F1,lasp_lag1,2014-12-01,2019-12-01,8.611109281642904
headline,oer,F1,lasp_lag1,2019-12-01,2024-12-01,22.607858364030655
headline,oer,F1,lasp_lag1,2019-12-01,2026-07-01,NA
headline,oer,F1,lasp_lag0,2014-12-01,2019-12-01,8.310430091127374
headline,oer,F1,lasp_lag0,2019-12-01,2024-12-01,22.724924739409346
headline,oer,F1,lasp_lag0,2019-12-01,2026-07-01,NA
headline,oer,F1,tornqvist,2014-12-01,2019-12-01,8.118332683140416
headline,oer,F1,tornqvist,2019-12-01,2024-12-01,22.252924441890798
headline,oer,F1,tornqvist,2019-12-01,2026-07-01,NA
headline,oer,F1,tornqvist_ext,2014-12-01,2019-12-01,8.118332683140416
headline,oer,F1,tornqvist_ext,2019-12-01,2024-12-01,22.252924441890798
headline,oer,F1,tornqvist_ext,2019-12-01,2026-07-01,29.022788933993503
headline,oer,F1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.149672021296993
headline,oer,F1,annual_avg_tornqvist,2014-07-01,2019-07-01,6.857562496731284
headline,oer,F1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.45793401385596
headline,oer,F1,annual_avg_tornqvist,2019-07-01,2024-07-01,22.288030451048748
headline,oer,K1,lasp_lag2,2014-12-01,2019-12-01,8.665146040010319
headline,oer,K1,lasp_lag2,2019-12-01,2024-12-01,22.43006475343141
headline,oer,K1,lasp_lag2,2019-12-01,2026-07-01,29.271546615487743
headline,oer,K1,lasp_lag1,2014-12-01,2019-12-01,8.653229084418035
headline,oer,K1,lasp_lag1,2019-12-01,2024-12-01,22.630610707970256
headline,oer,K1,lasp_lag1,2019-12-01,2026-07-01,NA
headline,oer,K1,lasp_lag0,2014-12-01,2019-12-01,8.36092251626317
headline,oer,K1,lasp_lag0,2019-12-01,2024-12-01,22.835489713977996
headline,oer,K1,lasp_lag0,2019-12-01,2026-07-01,NA
headline,oer,K1,tornqvist,2014-12-01,2019-12-01,8.171774782513207
headline,oer,K1,tornqvist,2019-12-01,2024-12-01,22.32633104942534
headline,oer,K1,tornqvist,2019-12-01,2026-07-01,NA
headline,oer,K1,tornqvist_ext,2014-12-01,2019-12-01,8.171774782513207
headline,oer,K1,tornqvist_ext,2019-12-01,2024-12-01,22.32633104942534
headline,oer,K1,tornqvist_ext,2019-12-01,2026-07-01,29.074618013634137
headline,oer,K1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.210591668968402
headline,oer,K1,annual_avg_tornqvist,2014-07-01,2019-07-01,6.931809364906005
headline,oer,K1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.280518502917324
headline,oer,K1,annual_avg_tornqvist,2019-07-01,2024-07-01,22.354545576472983
headline,oer,10,lasp_lag2,2014-12-01,2019-12-01,9.688561148702203
headline,oer,10,lasp_lag2,2019-12-01,2024-12-01,23.222963636213635
headline,oer,10,lasp_lag2,2019-12-01,2026-07-01,30.10770399629088
headline,oer,10,lasp_lag1,2014-12-01,2019-12-01,9.620740819756923
headline,oer,10,lasp_lag1,2019-12-01,2024-12-01,23.14416565891051
headline,oer,10,lasp_lag1,2019-12-01,2026-07-01,NA
headline,oer,10,lasp_lag0,2014-12-01,2019-12-01,9.253184333007436
headline,oer,10,lasp_lag0,2019-12-01,2024-12-01,23.069185510714153
headline,oer,10,lasp_lag0,2019-12-01,2026-07-01,NA
headline,oer,10,tornqvist,2014-12-01,2019-12-01,9.105410857593355
headline,oer,10,tornqvist,2019-12-01,2024-12-01,22.723079379166933
headline,oer,10,tornqvist,2019-12-01,2026-07-01,NA
headline,oer,10,tornqvist_ext,2014-12-01,2019-12-01,9.105410857593355
headline,oer,10,tornqvist_ext,2019-12-01,2024-12-01,22.723079379166933
headline,oer,10,tornqvist_ext,2019-12-01,2026-07-01,29.49056707397655
headline,oer,10,annual_avg_lasp_lag2,2014-07-01,2019-07-01,8.288591232474385
headline,oer,10,annual_avg_tornqvist,2014-07-01,2019-07-01,7.883023657510568
headline,oer,10,annual_avg_lasp_lag2,2019-07-01,2024-07-01,23.103987982730235
headline,oer,10,annual_avg_tornqvist,2019-07-01,2024-07-01,22.778885025947893
headline,oer,01,lasp_lag2,2014-12-01,2019-12-01,9.070666165964658
headline,oer,01,lasp_lag2,2019-12-01,2024-12-01,22.73863657344739
headline,oer,01,lasp_lag2,2019-12-01,2026-07-01,29.61859385764809
headline,oer,01,lasp_lag1,2014-12-01,2019-12-01,9.02555033853687
headline,oer,01,lasp_lag1,2019-12-01,2024-12-01,22.750642960171707
headline,oer,01,lasp_lag1,2019-12-01,2026-07-01,NA
headline,oer,01,lasp_lag0,2014-12-01,2019-12-01,8.698633209836615
headline,oer,01,lasp_lag0,2019-12-01,2024-12-01,22.70056421208484
headline,oer,01,lasp_lag0,2019-12-01,2026-07-01,NA
headline,oer,01,tornqvist,2014-12-01,2019-12-01,8.528499676798095
headline,oer,01,tornqvist,2019-12-01,2024-12-01,22.325669174108743
headline,oer,01,tornqvist,2019-12-01,2026-07-01,NA
headline,oer,01,tornqvist_ext,2014-12-01,2019-12-01,8.528499676798095
headline,oer,01,tornqvist_ext,2019-12-01,2024-12-01,22.325669174108743
headline,oer,01,tornqvist_ext,2019-12-01,2026-07-01,29.10378295064784
headline,oer,01,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.624591531093916
headline,oer,01,annual_avg_tornqvist,2014-07-01,2019-07-01,7.282240138097262
