year,quintile,bls_shelter,code,ours_shelter
2019,1,35.08,02,35.67528929841421
2019,2,34.85,03,32.979718081033255
2019,3,32.7,04,31.955924209577613
2019,4,31.53,05,30.78016985325026
2019,5,32.05,06,29.8367948187453
2021,1,35.53,02,37.41048365870468
2021,2,34.15,03,34.43164154433588
2021,3,31.880000000000003,04,32.02955614152563
2021,4,31.1,05,29.883155983649278
2021,5,32.239999999999995,06,30.72157172401761
2023,1,38.25,02,39.54612208147691
2023,2,37.16,03,36.84787967315812
2023,3,35.67,04,34.75123145442971
2023,4,33.91,05,33.08672770269807
2023,5,35.64,06,32.86444364988759
2024,1,38.08,02,40.0845399061179
2024,2,36.98,03,37.535855710193765
2024,3,34.97,04,34.52873371702297
2024,4,33.37,05,32.69104260927672
2024,5,34.43,06,32.33907524721182
